subscription ID	Plan	Product	Interval	Amount	Status
sub_1PBmluI9Qa85Sr7CIKacWFTV	price_1ONrHKI9Qa85Sr7CVDYrGdHR	Chat Enterprise : Quarterly	month	13500	past_due
sub_1OpE8PI9Qa85Sr7Ccru5jF1z	price_1OpE4MI9Qa85Sr7Cj6rihyvg	Video Enterprise : Quarterly	month	13140	active
sub_1PgKjPI9Qa85Sr7CWzrBLo5I	price_1PWk3kI9Qa85Sr7CGvAnqNd5	Chat - Support : Annually	year	12000	active
sub_1PEdB1I9Qa85Sr7ChBLrGGGh	price_1MrulKI9Qa85Sr7CvPgS2gFD	Chat Enterprise - Support : Semi-Annually	month	12000	active
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1MA4OXI9Qa85Sr7C7izsGRTv	Chat Enterprise - Support : Quarterly	month	12000	active
sub_1OTfU6I9Qa85Sr7CP4LwhwTU	price_1HwD2YI9Qa85Sr7CKVEgF1GX	Feeds Enterprise : Semi-Annually	month	12000	active
sub_1Pu6q3I9Qa85Sr7C0J5YK5Yy	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1Pu6pzI9Qa85Sr7COQbes6m6	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1PN2ItI9Qa85Sr7CS3y1EObv	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1PLZITI9Qa85Sr7Cfyexszn5	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	active
sub_1PB9jUI9Qa85Sr7CUkoelBoq	price_1P05POI9Qa85Sr7CGBhLMMxi	Feeds Enterprise : Semi-Annually	month	10800	active
sub_1OTfU4I9Qa85Sr7CedJcpytY	price_1N1limI9Qa85Sr7Ctpo4khmA	Chat Enterprise : Quarterly	month	10800	past_due
sub_1OTvzsI9Qa85Sr7CvOMl3lHv	price_1KsJYjI9Qa85Sr7CDICqFJ7m	Feeds Enterprise : Quarterly	month	9000	active
sub_1OTv9OI9Qa85Sr7CUbkfJdoe	price_1KsJYjI9Qa85Sr7CDICqFJ7m	Feeds Enterprise : Quarterly	month	9000	active
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1P0WCPI9Qa85Sr7CCgz836Rw	Chat Enterprise - AI Moderation : Quarterly	month	7500	active
sub_1PspGeI9Qa85Sr7CObeZ6gPo	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	past_due
sub_1PpiXlI9Qa85Sr7CrjPnukrB	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1Pj28pI9Qa85Sr7CyoyXFEt6	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1PgKjPI9Qa85Sr7CWzrBLo5I	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1PQNgEI9Qa85Sr7CsFgzdSEW	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1PKC8sI9Qa85Sr7CyxrHWQgH	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1Or4zeI9Qa85Sr7CuixvFlAM	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1OfFffI9Qa85Sr7CvTngGl6p	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1OXSyUI9Qa85Sr7CDY2nDBrh	price_1Nxx3xI9Qa85Sr7C7iZV6Q40	Chat Elevate : 10k MAU	year	7188	active
sub_1PBmluI9Qa85Sr7CIKacWFTV	price_1P0nOUI9Qa85Sr7C2KNwj2eX	Video Enterprise : Quarterly	month	6666.66	past_due
sub_1OzYUGI9Qa85Sr7CgZ5K4LNQ	price_1OwDoZI9Qa85Sr7C9J01Vz8g	Chat Elevate : 25k MAU	month	6294	active
sub_1PaVqxI9Qa85Sr7C1LM6FByu	price_1KsMegI9Qa85Sr7CFl7ZckhA	Chat Enterprise : Quarterly	month	6000	active
sub_1PXdIOI9Qa85Sr7C8wepXfLS	price_1PMaISI9Qa85Sr7CiuGcwg9T	Chat - Support : Quarterly	month	6000	active
sub_1PN2ItI9Qa85Sr7CS3y1EObv	price_1JZOYEI9Qa85Sr7CYFDvnEge	Chat Enterprise - Support : Quarterly	month	6000	past_due
sub_1PBmluI9Qa85Sr7CIKacWFTV	price_1JZOYEI9Qa85Sr7CYFDvnEge	Chat Enterprise - Support : Quarterly	month	6000	past_due
sub_1Oly93I9Qa85Sr7Cp6lvhcx2	price_1Oly5RI9Qa85Sr7CqqPmYQnU	Video Enterprise - Support : Quarterly	month	6000	past_due
sub_1PXGoMI9Qa85Sr7CUyMIuF7X	price_1OzignI9Qa85Sr7CVAYP1S1S	Chat Start : 50k MAU	month	5547	active
sub_1PBM0rI9Qa85Sr7CVyfGyObb	price_1OzignI9Qa85Sr7CVAYP1S1S	Chat Start : 50k MAU	month	5547	active
sub_1PIVmXI9Qa85Sr7Cf61LwgTe	price_1PN20eI9Qa85Sr7C2aqNdMs8	Feeds Enterprise : Quarterly	month	5400	active
sub_1PBmluI9Qa85Sr7CIKacWFTV	price_1PN20eI9Qa85Sr7C2aqNdMs8	Feeds Enterprise : Quarterly	month	5400	past_due
sub_1P0HRkI9Qa85Sr7CnqUuF6ut	price_1Ncv1SI9Qa85Sr7CdB0UWRfG	Feeds Enterprise : Monthly	month	5000	active
sub_1Q4mdyI9Qa85Sr7C8dwT9sQz	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1Q4cecI9Qa85Sr7CFUSDCKo0	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1Q2oHCI9Qa85Sr7CVSTP9S2M	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PzjvtI9Qa85Sr7Ctyu5h5f7	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PuWl8I9Qa85Sr7CkV4UDAhz	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1Pu681I9Qa85Sr7CekPDZpn0	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	past_due
sub_1Pr0CdI9Qa85Sr7C7TXyIDR1	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PnBn9I9Qa85Sr7CCeOJuX5R	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PlzbrI9Qa85Sr7CCLBrCAdm	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PdQuqI9Qa85Sr7CLziwG51z	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PYpa3I9Qa85Sr7CE5I80mvy	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PYp9wI9Qa85Sr7C6kZppcUB	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PMYwqI9Qa85Sr7C97P0Mmzr	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1PEteaI9Qa85Sr7CI7DNUZs9	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1P8FvdI9Qa85Sr7Cb4D6X94b	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1P7WyWI9Qa85Sr7ChNGUvsDR	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1P1jLKI9Qa85Sr7CjINcPcAg	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1P0H8lI9Qa85Sr7Cg4vqt8ZT	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OzitfI9Qa85Sr7CXaOmBbcb	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OwDIWI9Qa85Sr7CpniAPlkE	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OvTGJI9Qa85Sr7CeDqgmpdx	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1Ou7LJI9Qa85Sr7CUigpIpKy	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
